"","iso2c","SI.POV.GINI","SI.POV.UMIC","SP.DYN.LE00.IN","SL.GDP.PCAP.EM.KD","NV.AGR.TOTL.ZS","NV.IND.TOTL.ZS","NV.IND.MANF.ZS","NV.SRV.TOTL.ZS"
"65","IN",34.3,91.725,64.046275862069,10308.1944310108,20.1985150469928,15.9800286902063,28.0919419591077,43.4281433508079
"66","IQ",29.05,54.7,68.6703448275862,35048.5251887485,8.17230771441134,1.85263172949553,61.1998936415631,30.6277986440256
"67","IR",41.6090909090909,21.0090909090909,71.4442068965517,42737.8912897551,9.19959000592895,14.6175119908699,40.593059189647,51.1497600186633
"68","IS",27.9846153846154,0.223076923076923,80.6946425567704,78135.3721076608,6.06559916352191,11.0155516655784,21.5575816886795,59.9106187543238
"69","IT",34.625,2.43,80.4418839360807,111421.462281206,2.37047654325648,16.3678208207957,23.694955565657,64.0581632288672
"70","JM",42.5166666666667,41.6833333333333,74.0513448275862,23768.8403763246,6.26049284018829,9.03194803416278,21.5164181425045,62.9705193862197
"71","JO",36.1666666666667,31.6333333333333,72.3525172413793,44927.7548445898,3.71254141193227,15.8574881329999,24.6009947033464,60.9665443443563
"72","JP",33.2666666666667,1.03333333333333,81.6884272497897,72563.2385577721,1.30661024504617,21.3885230174473,30.3547042078741,68.1014113202063
"73","KE",46.58,83.78,57.3189655172414,8404.21238501334,26.8987043319469,10.2198045735671,16.7039984204975,47.0448041864738
"74","KG",30.92,69.855,68.6124474348192,9796.2650565584,27.2649669616138,15.9057775705647,24.4916515153016,40.4092702935337
"75","KR",31.9,1.275,77.5470984020185,57987.139161951,3.46554071669932,25.8351919002474,34.5207871706041,52.9841024306839
"76","KZ",30.4611111111111,26.1611111111111,67.6694449116905,34677.1151937672,7.96927744931892,12.4122981894137,34.801803863372,52.1217948921678
"77","LA",34.72,89.74,60.8456896551724,8577.31299266742,29.9572028254399,8.54342446644002,23.6480692872059,42.5656503894022
"78","LB",31.8,1.7,75.6358620689655,50216.3432418654,4.68580176754614,9.22880770063124,18.029390369923,68.1638453686933
"79","LC",46.9,52.6,73.8281724137931,35374.1816520829,2.5141575818107,3.42076696279665,11.6977004132131,73.5484722331697
"80","LK",37.7857142857143,62.3571428571429,73.1408620689655,20447.621265949,15.282164127439,16.3845310118546,27.7520047125591,54.3385262617594
"81","LR",35,95.0333333333333,54.7832068965517,3461.26868421103,53.6796071978815,2.57420635910623,8.74380799396337,37.3420732801813
"82","LS",53.2333333333333,81.3666666666667,49.8215172413793,6540.70916040693,6.48304020987307,14.6851138881728,32.303570891073,53.2048387081499
"83","LT",35.8357142857143,6.91428571428572,72.0238519764508,51692.4847262951,4.76848871910327,16.815218386599,27.3259495858197,57.545011103602
